Client_ID,Note_loan_percent_income,Note_person_home_ownership,Note_person_income,Note_Finale,loan_status,loan_grade
0,0.0,0.0,195.86,195.86,0,1
1,411.78,255.72,195.86,863.36,1,2
2,411.78,392.36,0.0,804.14,1,2
3,411.78,392.36,28.41,832.55,1,2
4,48.07,0.0,195.86,243.93,1,0
5,411.78,392.36,0.0,804.14,1,1
6,411.78,392.36,0.0,804.14,1,1
7,411.78,392.36,0.0,804.14,1,0
8,48.07,0.0,195.86,243.93,1,3
9,411.78,392.36,0.0,804.14,1,1
10,411.78,0.0,195.86,607.64,1,0
11,411.78,392.36,0.0,804.14,1,0
12,411.78,392.36,0.0,804.14,1,4
13,95.05,392.36,0.0,487.41,0,0
14,0.0,255.72,0.0,255.72,0,1
15,95.05,392.36,0.0,487.41,0,0
16,411.78,392.36,0.0,804.14,1,5
17,411.78,392.36,0.0,804.14,1,3
18,48.07,255.72,195.86,499.65000000000003,1,1
19,48.07,392.36,0.0,440.43,0,0
20,48.07,392.36,0.0,440.43,0,4
21,411.78,392.36,0.0,804.14,1,3
22,0.0,0.0,195.86,195.86,0,0
23,411.78,392.36,0.0,804.14,1,3
24,411.78,392.36,0.0,804.14,1,2
25,411.78,255.72,195.86,863.36,1,4
26,0.0,0.0,195.86,195.86,0,0
27,411.78,392.36,0.0,804.14,1,1
28,411.78,392.36,195.86,1000.0,1,2
29,48.07,0.0,195.86,243.93,1,1
30,95.05,392.36,0.0,487.41,0,0
31,411.78,392.36,0.0,804.14,1,2
32,0.0,392.36,0.0,392.36,0,2
33,0.0,255.72,0.0,255.72,0,2
34,48.07,0.0,195.86,243.93,1,0
35,411.78,392.36,28.41,832.55,1,4
36,411.78,392.36,0.0,804.14,1,3
37,411.78,392.36,0.0,804.14,1,3
38,411.78,392.36,0.0,804.14,1,3
39,411.78,392.36,28.41,832.55,1,4
40,48.07,0.0,195.86,243.93,1,1
41,0.0,255.72,0.0,255.72,0,0
42,0.0,0.0,0.0,0.0,0,5
43,0.0,0.0,0.0,0.0,0,1
44,0.0,255.72,0.0,255.72,0,3
45,0.0,255.72,0.0,255.72,0,4
46,411.78,392.36,0.0,804.14,1,0
47,411.78,392.36,0.0,804.14,1,1
48,411.78,392.36,0.0,804.14,1,0
49,411.78,392.36,0.0,804.14,1,3
50,411.78,392.36,0.0,804.14,1,5
51,411.78,392.36,0.0,804.14,1,2
52,411.78,392.36,0.0,804.14,1,1
53,48.07,392.36,0.0,440.43,0,0
54,0.0,392.36,0.0,392.36,0,2
55,0.0,392.36,0.0,392.36,0,1
56,0.0,0.0,0.0,0.0,0,0
57,48.07,392.36,0.0,440.43,0,0
58,0.0,0.0,195.86,195.86,0,4
59,48.07,392.36,0.0,440.43,0,0
60,0.0,0.0,0.0,0.0,0,1
61,0.0,255.72,0.0,255.72,1,1
62,0.0,255.72,0.0,255.72,1,3
63,411.78,392.36,0.0,804.14,1,3
64,0.0,255.72,195.86,451.58000000000004,0,3
65,0.0,0.0,0.0,0.0,0,1
66,0.0,255.72,0.0,255.72,0,3
67,0.0,255.72,0.0,255.72,0,0
68,0.0,392.36,0.0,392.36,0,2
69,48.07,0.0,195.86,243.93,1,2
70,411.78,392.36,28.41,832.55,1,0
71,48.07,0.0,195.86,243.93,1,2
72,411.78,392.36,0.0,804.14,1,0
73,411.78,392.36,0.0,804.14,1,0
74,411.78,0.0,195.86,607.64,1,0
75,411.78,392.36,0.0,804.14,1,1
76,411.78,0.0,195.86,607.64,1,2
77,411.78,0.0,195.86,607.64,1,0
78,411.78,392.36,0.0,804.14,1,3
79,0.0,392.36,0.0,392.36,0,2
80,95.05,392.36,0.0,487.41,0,1
81,48.07,392.36,0.0,440.43,0,0
82,48.07,0.0,195.86,243.93,1,0
83,95.05,392.36,0.0,487.41,1,1
