Client_ID,Note_loan_percent_income,Note_person_home_ownership,Note_person_income,Note_Finale,loan_status,loan_grade,Classe_Risque
0,0.0,0.0,195.86,195.86,0,1,0
1,411.78,255.72,195.86,863.36,1,2,6
2,411.78,392.36,0.0,804.14,1,2,6
3,411.78,392.36,28.41,832.55,1,2,6
4,48.07,0.0,195.86,243.93,1,0,1
5,411.78,392.36,0.0,804.14,1,1,6
6,411.78,392.36,0.0,804.14,1,1,6
7,411.78,392.36,0.0,804.14,1,0,6
8,48.07,0.0,195.86,243.93,1,3,1
9,411.78,392.36,0.0,804.14,1,1,6
10,411.78,0.0,195.86,607.64,1,0,5
11,411.78,392.36,0.0,804.14,1,0,6
12,411.78,392.36,0.0,804.14,1,4,6
13,95.05,392.36,0.0,487.41,0,0,4
14,0.0,255.72,0.0,255.72,0,1,1
15,95.05,392.36,0.0,487.41,0,0,4
16,411.78,392.36,0.0,804.14,1,5,6
17,411.78,392.36,0.0,804.14,1,3,6
18,48.07,255.72,195.86,499.65,1,1,4
19,48.07,392.36,0.0,440.43,0,0,3
20,48.07,392.36,0.0,440.43,0,4,3
21,411.78,392.36,0.0,804.14,1,3,6
22,0.0,0.0,195.86,195.86,0,0,0
23,411.78,392.36,0.0,804.14,1,3,6
24,411.78,392.36,0.0,804.14,1,2,6
25,411.78,255.72,195.86,863.36,1,4,6
26,0.0,0.0,195.86,195.86,0,0,0
27,411.78,392.36,0.0,804.14,1,1,6
28,411.78,392.36,195.86,1000.0,1,2,6
29,48.07,0.0,195.86,243.93,1,1,1
30,95.05,392.36,0.0,487.41,0,0,4
31,411.78,392.36,0.0,804.14,1,2,6
32,0.0,392.36,0.0,392.36,0,2,2
33,0.0,255.72,0.0,255.72,0,2,1
34,48.07,0.0,195.86,243.93,1,0,1
35,411.78,392.36,28.41,832.55,1,4,6
36,411.78,392.36,0.0,804.14,1,3,6
37,411.78,392.36,0.0,804.14,1,3,6
38,411.78,392.36,0.0,804.14,1,3,6
39,411.78,392.36,28.41,832.55,1,4,6
40,48.07,0.0,195.86,243.93,1,1,1
41,0.0,255.72,0.0,255.72,0,0,1
42,0.0,0.0,0.0,0.0,0,5,0
43,0.0,0.0,0.0,0.0,0,1,0
44,0.0,255.72,0.0,255.72,0,3,1
45,0.0,255.72,0.0,255.72,0,4,1
46,411.78,392.36,0.0,804.14,1,0,6
47,411.78,392.36,0.0,804.14,1,1,6
48,411.78,392.36,0.0,804.14,1,0,6
49,411.78,392.36,0.0,804.14,1,3,6
50,411.78,392.36,0.0,804.14,1,5,6
51,411.78,392.36,0.0,804.14,1,2,6
52,411.78,392.36,0.0,804.14,1,1,6
53,48.07,392.36,0.0,440.43,0,0,3
54,0.0,392.36,0.0,392.36,0,2,2
55,0.0,392.36,0.0,392.36,0,1,2
56,0.0,0.0,0.0,0.0,0,0,0
57,48.07,392.36,0.0,440.43,0,0,3
58,0.0,0.0,195.86,195.86,0,4,0
59,48.07,392.36,0.0,440.43,0,0,3
60,0.0,0.0,0.0,0.0,0,1,0
61,0.0,255.72,0.0,255.72,1,1,1
62,0.0,255.72,0.0,255.72,1,3,1
63,411.78,392.36,0.0,804.14,1,3,6
64,0.0,255.72,195.86,451.58,0,3,3
65,0.0,0.0,0.0,0.0,0,1,0
66,0.0,255.72,0.0,255.72,0,3,1
67,0.0,255.72,0.0,255.72,0,0,1
68,0.0,392.36,0.0,392.36,0,2,2
69,48.07,0.0,195.86,243.93,1,2,1
70,411.78,392.36,28.41,832.55,1,0,6
71,48.07,0.0,195.86,243.93,1,2,1
72,411.78,392.36,0.0,804.14,1,0,6
73,411.78,392.36,0.0,804.14,1,0,6
74,411.78,0.0,195.86,607.64,1,0,5
75,411.78,392.36,0.0,804.14,1,1,6
76,411.78,0.0,195.86,607.64,1,2,5
77,411.78,0.0,195.86,607.64,1,0,5
78,411.78,392.36,0.0,804.14,1,3,6
79,0.0,392.36,0.0,392.36,0,2,2
80,95.05,392.36,0.0,487.41,0,1,4
81,48.07,392.36,0.0,440.43,0,0,3
82,48.07,0.0,195.86,243.93,1,0,1
83,95.05,392.36,0.0,487.41,1,1,4
84,48.07,392.36,0.0,440.43,0,1,3
85,411.78,392.36,0.0,804.14,1,0,6
86,95.05,255.72,195.86,546.63,1,4,5
87,411.78,392.36,0.0,804.14,1,2,6
88,0.0,0.0,0.0,0.0,0,1,0
89,411.78,392.36,0.0,804.14,1,3,6
90,411.78,392.36,0.0,804.14,1,2,6
91,411.78,392.36,0.0,804.14,1,3,6
92,411.78,392.36,28.41,832.55,1,1,6
93,48.07,392.36,0.0,440.43,0,1,3
94,0.0,0.0,195.86,195.86,0,2,0
95,411.78,392.36,28.41,832.55,1,1,6
96,0.0,255.72,0.0,255.72,0,2,1
97,0.0,0.0,0.0,0.0,0,1,0
98,0.0,255.72,0.0,255.72,0,1,1
99,0.0,255.72,0.0,255.72,1,3,1
100,0.0,255.72,0.0,255.72,0,2,1
101,0.0,255.72,0.0,255.72,0,2,1
102,95.05,392.36,0.0,487.41,1,1,4
103,48.07,255.72,195.86,499.65,1,0,4
104,0.0,0.0,195.86,195.86,0,2,0
105,411.78,392.36,28.41,832.55,1,2,6
106,411.78,392.36,28.41,832.55,1,3,6
107,48.07,0.0,195.86,243.93,1,2,1
108,95.05,255.72,195.86,546.63,1,1,5
109,0.0,255.72,0.0,255.72,0,1,1
110,0.0,255.72,0.0,255.72,0,4,1
111,48.07,255.72,0.0,303.79,1,1,2
112,0.0,392.36,0.0,392.36,0,1,2
113,411.78,255.72,195.86,863.36,1,1,6
114,48.07,0.0,195.86,243.93,1,2,1
115,411.78,392.36,28.41,832.55,1,3,6
116,411.78,392.36,28.41,832.55,1,1,6
117,95.05,0.0,195.86,290.91,1,3,2
118,411.78,0.0,195.86,607.64,1,1,5
119,411.78,392.36,28.41,832.55,1,4,6
120,411.78,392.36,28.41,832.55,1,1,6
121,0.0,255.72,0.0,255.72,0,5,1
122,0.0,392.36,0.0,392.36,0,0,2
123,0.0,392.36,0.0,392.36,0,0,2
124,0.0,255.72,0.0,255.72,0,1,1
125,411.78,392.36,28.41,832.55,1,1,6
126,411.78,392.36,28.41,832.55,1,0,6
127,411.78,392.36,28.41,832.55,1,0,6
128,411.78,392.36,28.41,832.55,1,3,6
129,411.78,392.36,28.41,832.55,1,1,6
130,411.78,392.36,28.41,832.55,1,1,6
131,411.78,392.36,28.41,832.55,1,2,6
132,411.78,392.36,28.41,832.55,1,1,6
133,411.78,0.0,195.86,607.64,1,0,5
134,0.0,255.72,0.0,255.72,0,1,1
135,0.0,255.72,0.0,255.72,0,0,1
136,0.0,255.72,0.0,255.72,0,3,1
137,0.0,255.72,0.0,255.72,0,2,1
138,48.07,255.72,0.0,303.79,0,2,2
139,0.0,255.72,0.0,255.72,0,0,1
140,411.78,392.36,28.41,832.55,1,2,6
141,411.78,392.36,28.41,832.55,1,3,6
142,411.78,392.36,28.41,832.55,1,2,6
143,411.78,392.36,28.41,832.55,1,3,6
144,411.78,392.36,28.41,832.55,1,4,6
145,0.0,255.72,195.86,451.58,0,1,3
146,411.78,0.0,195.86,607.64,1,2,5
147,0.0,255.72,0.0,255.72,0,1,1
148,0.0,0.0,0.0,0.0,0,1,0
149,411.78,392.36,28.41,832.55,1,5,6
150,411.78,392.36,28.41,832.55,1,1,6
151,411.78,392.36,28.41,832.55,1,3,6
152,411.78,392.36,28.41,832.55,1,1,6
153,411.78,392.36,28.41,832.55,1,3,6
154,411.78,392.36,28.41,832.55,1,2,6
155,411.78,392.36,28.41,832.55,1,2,6
156,0.0,0.0,0.0,0.0,0,2,0
157,0.0,255.72,0.0,255.72,1,5,1
158,411.78,0.0,195.86,607.64,1,4,5
159,411.78,392.36,28.41,832.55,1,1,6
160,411.78,392.36,28.41,832.55,1,1,6
161,411.78,392.36,28.41,832.55,1,3,6
162,95.05,0.0,195.86,290.91,1,3,2
163,0.0,392.36,0.0,392.36,0,1,2
164,0.0,255.72,0.0,255.72,0,2,1
165,0.0,255.72,0.0,255.72,0,2,1
166,411.78,392.36,28.41,832.55,1,4,6
167,411.78,392.36,28.41,832.55,1,2,6
168,411.78,392.36,28.41,832.55,1,1,6
169,411.78,392.36,28.41,832.55,1,1,6
170,411.78,392.36,28.41,832.55,1,2,6
171,411.78,392.36,28.41,832.55,1,3,6
172,0.0,255.72,0.0,255.72,0,0,1
173,0.0,255.72,0.0,255.72,0,2,1
174,0.0,255.72,0.0,255.72,0,0,1
175,0.0,255.72,0.0,255.72,0,2,1
176,0.0,255.72,0.0,255.72,0,1,1
177,0.0,392.36,0.0,392.36,0,0,2
178,411.78,392.36,0.0,804.14,1,1,6
179,411.78,392.36,0.0,804.14,1,2,6
180,0.0,255.72,0.0,255.72,0,0,1
181,0.0,392.36,0.0,392.36,0,3,2
182,0.0,255.72,0.0,255.72,0,1,1
183,0.0,255.72,0.0,255.72,0,2,1
184,0.0,255.72,0.0,255.72,0,1,1
185,411.78,392.36,28.41,832.55,1,4,6
186,48.07,0.0,195.86,243.93,1,1,1
187,411.78,392.36,0.0,804.14,1,3,6
188,411.78,392.36,0.0,804.14,1,0,6
189,411.78,392.36,0.0,804.14,1,1,6
190,411.78,392.36,0.0,804.14,1,3,6
191,411.78,392.36,0.0,804.14,1,3,6
192,0.0,255.72,0.0,255.72,0,1,1
193,0.0,255.72,0.0,255.72,1,4,1
194,0.0,255.72,0.0,255.72,0,2,1
195,411.78,392.36,0.0,804.14,1,3,6
196,95.05,0.0,195.86,290.91,1,1,2
197,411.78,392.36,0.0,804.14,1,1,6
198,411.78,0.0,195.86,607.64,1,0,5
199,411.78,392.36,28.41,832.55,1,3,6
200,411.78,392.36,0.0,804.14,1,3,6
201,411.78,392.36,0.0,804.14,1,1,6
202,411.78,0.0,195.86,607.64,1,0,5
203,411.78,392.36,0.0,804.14,1,2,6
204,411.78,392.36,0.0,804.14,1,1,6
205,411.78,392.36,0.0,804.14,1,1,6
206,0.0,392.36,0.0,392.36,0,2,2
207,0.0,255.72,0.0,255.72,0,1,1
208,0.0,255.72,0.0,255.72,0,0,1
209,0.0,255.72,0.0,255.72,0,2,1
210,411.78,392.36,0.0,804.14,1,1,6
211,411.78,392.36,0.0,804.14,1,3,6
212,0.0,255.72,0.0,255.72,0,1,1
213,0.0,0.0,0.0,0.0,0,1,0
214,411.78,392.36,0.0,804.14,1,2,6
215,411.78,392.36,0.0,804.14,1,1,6
216,411.78,392.36,0.0,804.14,1,1,6
217,0.0,0.0,0.0,0.0,0,1,0
218,48.07,255.72,0.0,303.79,0,1,2
219,0.0,392.36,0.0,392.36,0,2,2
220,411.78,392.36,28.41,832.55,1,3,6
221,411.78,392.36,0.0,804.14,1,3,6
222,411.78,0.0,195.86,607.64,1,2,5
223,411.78,392.36,0.0,804.14,1,3,6
224,411.78,392.36,0.0,804.14,1,2,6
225,0.0,255.72,195.86,451.58,0,2,3
226,411.78,392.36,0.0,804.14,1,0,6
227,411.78,392.36,0.0,804.14,1,2,6
228,0.0,392.36,0.0,392.36,0,1,2
229,0.0,0.0,0.0,0.0,0,0,0
230,0.0,392.36,0.0,392.36,0,3,2
231,0.0,0.0,0.0,0.0,0,1,0
232,0.0,255.72,0.0,255.72,1,2,1
233,0.0,255.72,0.0,255.72,0,1,1
234,0.0,255.72,0.0,255.72,0,0,1
235,0.0,255.72,0.0,255.72,0,0,1
236,411.78,392.36,0.0,804.14,1,4,6
237,411.78,392.36,0.0,804.14,1,3,6
238,411.78,392.36,0.0,804.14,1,0,6
239,411.78,392.36,0.0,804.14,1,1,6
240,95.05,392.36,0.0,487.41,0,1,4
241,95.05,392.36,0.0,487.41,0,1,4
242,95.05,392.36,0.0,487.41,0,3,4
243,0.0,392.36,0.0,392.36,0,4,2
244,48.07,255.72,0.0,303.79,0,0,2
245,95.05,0.0,195.86,290.91,1,4,2
246,0.0,0.0,195.86,195.86,0,1,0
247,95.05,392.36,0.0,487.41,0,5,4
248,95.05,392.36,0.0,487.41,0,1,4
249,0.0,255.72,0.0,255.72,0,1,1
250,0.0,255.72,0.0,255.72,0,1,1
251,0.0,255.72,0.0,255.72,1,5,1
252,411.78,255.72,195.86,863.36,1,2,6
253,95.05,392.36,0.0,487.41,0,3,4
254,411.78,392.36,0.0,804.14,1,4,6
255,411.78,392.36,0.0,804.14,1,3,6
256,411.78,392.36,0.0,804.14,1,3,6
257,95.05,392.36,0.0,487.41,0,1,4
258,411.78,0.0,195.86,607.64,1,0,5
259,0.0,0.0,0.0,0.0,0,1,0
260,0.0,0.0,0.0,0.0,0,1,0
261,0.0,0.0,0.0,0.0,0,2,0
262,0.0,0.0,0.0,0.0,0,0,0
263,0.0,255.72,0.0,255.72,0,1,1
264,95.05,0.0,195.86,290.91,1,1,2
265,411.78,392.36,0.0,804.14,1,3,6
266,411.78,392.36,0.0,804.14,1,4,6
267,95.05,392.36,0.0,487.41,0,1,4
268,411.78,392.36,0.0,804.14,1,3,6
269,95.05,392.36,0.0,487.41,0,2,4
270,95.05,392.36,0.0,487.41,0,1,4
271,95.05,392.36,0.0,487.41,0,2,4
272,95.05,392.36,0.0,487.41,0,3,4
273,0.0,255.72,195.86,451.58,0,2,3
274,95.05,392.36,0.0,487.41,1,5,4
275,95.05,392.36,0.0,487.41,1,3,4
276,0.0,255.72,0.0,255.72,0,0,1
277,0.0,255.72,0.0,255.72,0,0,1
278,0.0,255.72,0.0,255.72,0,1,1
279,0.0,255.72,0.0,255.72,0,1,1
280,95.05,0.0,195.86,290.91,1,2,2
281,411.78,0.0,195.86,607.64,1,1,5
282,95.05,392.36,0.0,487.41,1,3,4
283,95.05,392.36,0.0,487.41,1,1,4
284,95.05,392.36,0.0,487.41,1,3,4
285,0.0,0.0,195.86,195.86,0,3,0
286,95.05,392.36,0.0,487.41,1,3,4
287,48.07,392.36,0.0,440.43,0,1,3
288,48.07,255.72,195.86,499.65,1,2,4
